Date,State,Location,TimeOfDay,RoadType,AttackType,Casualties,Kidnapped,WeaponsUsed,PastIncidentsInArea,RiskLevel
2024-07-22,Benue,Road 30,08:00,Highway,Village Raid,2,15,None,7,High
2024-02-27,Oyo,Village 37,22:00,Highway,Kidnapping,5,9,Explosives,10,High
2024-05-06,Plateau,Village 41,01:00,Forest Path,Bandit Attack,5,12,Explosives,3,High
2024-06-22,Oyo,Village 25,01:00,Urban Road,Bandit Attack,4,8,Pistols,2,High
2024-06-28,Edo,Village 3,04:00,Highway,Highway Robbery,1,7,AK-47,5,High
2024-02-21,Benue,Road 22,04:00,Rural Road,Highway Robbery,5,9,AK-47,1,High
2024-10-12,Abuja,Village 15,03:00,Urban Road,Bandit Attack,1,4,Pistols,8,High
2024-11-03,Sokoto,Road 49,13:00,Urban Road,Highway Robbery,3,3,None,7,High
2024-07-20,Niger,Town 7,11:00,Rural Road,Kidnapping,0,10,Explosives,9,High
2024-09-11,Benue,Road 3,01:00,Highway,Bandit Attack,1,13,Pistols,3,High
2024-03-18,Abuja,Checkpoint 25,14:00,Urban Road,Highway Robbery,2,4,Explosives,2,Medium
2024-08-19,Kaduna,Road 27,06:00,Urban Road,Highway Robbery,2,4,Explosives,1,Medium
2024-11-18,Kaduna,Road 2,09:00,Rural Road,Highway Robbery,5,14,AK-47,9,High
2024-11-28,Kogi,Village 1,14:00,Rural Road,Kidnapping,5,13,None,5,High
2024-12-05,Zamfara,Town 10,03:00,Rural Road,Highway Robbery,0,15,AK-47,8,High
2024-08-21,Borno,Checkpoint 16,22:00,Urban Road,Bandit Attack,4,1,Shotgun,3,Medium
2024-08-06,Ondo,Road 22,01:00,Highway,Bandit Attack,5,10,None,0,High
2024-06-23,Kaduna,Road 45,08:00,Urban Road,Village Raid,5,3,AK-47,10,High
2024-10-03,Delta,Checkpoint 38,16:00,Urban Road,Highway Robbery,4,2,Pistols,3,Medium
2024-04-16,Kogi,Town 5,23:00,Highway,Village Raid,2,5,Shotgun,3,Medium
2024-07-06,Abuja,Checkpoint 25,08:00,Highway,Village Raid,3,13,Pistols,3,High
2024-10-16,Taraba,Village 22,04:00,Highway,Highway Robbery,3,5,None,6,High
2024-07-23,Taraba,Checkpoint 1,07:00,Highway,Bandit Attack,2,4,AK-47,7,High
2024-12-01,Oyo,Road 8,19:00,Highway,Bandit Attack,3,12,AK-47,10,High
